"","ENSEMBL","SYMBOL"
"1","ENSG00000119772","DNMT3A"
"2","ENSG00000181090","EHMT1"
"3","ENSG00000171681","ATF7IP"
"4","ENSG00000113578","FGF1"
"5","ENSG00000149480","MTA2"
"6","ENSG00000138685","FGF2"
"7","ENSG00000105894","PTN"
"8","ENSG00000106462","EZH2"
"9","ENSG00000140285","FGF7"
"10","ENSG00000167491","GATAD2A"
"11","ENSG00000085224","ATRX"
"12","ENSG00000107831","FGF8"
"13","ENSG00000130816","DNMT1"
"14","ENSG00000168283","BMI1"
"15","ENSG00000088305","DNMT3B"
"16","ENSG00000204371","EHMT2"
"17","ENSG00000066468","FGFR2"
